transaction_id,customer_reference,gross_amount_minor,currency,created_at,counterparty_name
TXN_2026_001,AMZN-INV-882194,125000,INR,2026-08-20T10:00:00Z,Amazon Logistics
TXN_2026_002,ZOMA-ORD-449102,85000,INR,2026-08-20T10:15:00Z,Zomato Online
TXN_2026_003,SWIG-ORD-331908,65000,INR,2026-08-20T10:30:00Z,Swiggy Delivery
TXN_2026_004,FLPK-INV-992341,210000,INR,2026-08-20T11:00:00Z,Flipkart Retail
TXN_2026_005,BLNK-ORD-112450,45000,INR,2026-08-20T11:20:00Z,Blinkit Instant
TXN_2026_006,MYNT-INV-773412,180000,INR,2026-08-20T12:00:00Z,Myntra Fashion
TXN_2026_007,TATA-INV-552109,320000,INR,2026-08-20T12:45:00Z,Tata Digital
TXN_2026_008,UBER-TRP-881230,55000,INR,2026-08-20T13:10:00Z,Uber India
TXN_2026_009,OLAA-TRP-442190,48000,INR,2026-08-20T13:30:00Z,Ola Mobility
TXN_2026_010,JIOO-SUB-661902,119000,INR,2026-08-20T14:00:00Z,Reliance Jio
